0,Горячий онигири с беконом ,Горячий онигири с курицей чили ,Горячий онигири с сурими и хумусом Эдамаме ,Горячий онигири с сурими и чуккой,Онигири с креветкой в соусе том кха,Онигири с куриным филе в соусе спайси Жизньмарт,Онигири с лососем в соусе том ям Жизньмарт,Онигири с лососем и сливочным сыром Жизньмарт,Онигири с сурими Жизньмарт,Онигири с тунцом в соусе спайси Жизньмарт,Ролл Мистер Сурими,"Ролл Чукка с снежным крабом, шт (Жизньмарт)",Ролл сливочный с курицей и огурцами ЖМ,Ролл сливочный с курицей и омлетом,"Ролл сливочный с лососем, шт (Жизньмарт)","Ролл с лососем и огурцом, шт (Жизньмарт)","Трайфл ""Наполеон"" в банке","Трайфл ""Тирамису"" в банке",Трайфл Морковный с корицей в банке,Трайфл Чернослив с грецкими орехами в банке,Трайфл с соленой карамелью в банке,"Хлопковый чизкейк, 80 гр","Чизкейк ""Карамель-банан"" 100 гр","Чизкейк ""Медовый"" 100 гр",Чизкейк Карамельный Лайт 100 г,Чизкейк Карамель с орехами 100 г.,"Десерт ""Бабушкино варенье"", 100г","Десерт ""Витаминная бомба"", 100г","Печенье ""Имбирный домик"", 40г",Шоколад ананасовый,Шоколад белый с малиной,Шоколад молочный с ореховым нугатином,Шоколад с розовой солью,Безлактозный ремесленный шоколад со смородиной,Белый ремесленный шоколад с фисташкой и шпинатом
26,"ЖМ Фучика, 3 БОЛЬШОЙ ФОРМАТ",2,2,1,1,0,9,1,3,12,3,0,0,0,0,0,1,3,1,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0
27,"ЖМ Горького, 65 БОЛЬШОЙ ФОРМАТ",6,7,6,0,0,4,1,0,9,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
28,"Заводская, 36 МИНИ ФОРМАТ",2,2,0,0,0,8,1,2,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,5,5,0,0,5,5
29,"ЖМ Луначарского, 77 БОЛЬШОЙ ФОРМАТ",21,19,12,0,0,50,5,11,38,6,0,0,0,0,0,4,4,1,1,5,3,1,2,0,1,4,1,0,0,0,0,0,0,0,0
30,"Свердлова, 14 МИНИ ФОРМАТ",5,3,2,0,0,12,0,2,20,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
31,Радищева1 МИНИ ФОРМАТ,0,0,0,0,0,40,2,3,40,4,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0
32,"Малышева, 63",5,5,5,0,0,30,0,2,30,2,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"Куйбышева, 44",2,2,1,0,0,5,0,2,5,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,5,0,0,0
34,"ЖМ Циолковского, 27 БОЛЬШОЙ ФОРМАТ",10,9,5,0,0,20,3,6,20,2,1,3,0,0,5,0,2,2,1,1,1,0,0,0,2,0,3,0,3,0,0,0,0,0,0
35,"ЖМ Московская, 249 БОЛЬШОЙ ФОРМАТ",7,8,4,0,0,4,0,2,8,3,0,0,0,0,0,0,1,0,0,0,3,0,5,0,1,0,1,0,1,0,0,0,0,0,0
36,"ЖМ 8 Марта, 86 БОЛЬШОЙ ФОРМАТ",14,12,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,1,1,1,0,2,0,0,1,0,1,2,0,0,0,0,5,5
37,"ЖМ Малышева, 42 БОЛЬШОЙ ФОРМАТ",9,7,4,0,0,21,0,1,8,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
38,"8 Марта, 128 МИНИ ФОРМАТ",5,5,5,0,0,15,2,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0
39,"ЖМ Щорса, 29 БОЛЬШОЙ ФОРМАТ",18,12,10,1,0,23,3,7,32,3,0,0,0,0,0,0,1,1,0,0,2,0,3,0,2,0,6,0,0,0,0,0,0,0,0
40,"ЖМ Татищева, 18 БОЛЬШОЙ ФОРМАТ",9,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,0,0,0,2,0,1,0,3,0,0,0,0,0,0
41,"ЖМ Мира, 41 БОЛЬШОЙ ФОРМАТ",12,12,10,0,0,18,2,5,19,6,0,0,0,0,0,0,2,1,1,1,1,1,2,1,2,2,2,0,3,0,0,0,0,0,0
42,"Ленина, 36",5,6,3,0,0,12,0,2,11,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,"Малышева, 146 МИНИ ФОРМАТ",10,9,5,0,0,15,1,1,19,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44,"Трамвайный, 2/7",5,4,3,0,0,10,0,2,10,2,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
45,"Челюскинцев, 64 МИНИ ФОРМАТ",6,3,2,0,0,12,2,1,16,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,2,0,3,0,0,0,0,0,0
46,"Ленина, 2 МИНИ ФОРМАТ",6,5,3,0,0,15,1,2,15,1,0,0,0,0,0,0,2,1,1,1,1,0,1,1,3,3,0,0,0,0,0,0,0,0,0
47,"Щербакова, 4",6,5,3,0,0,23,2,3,28,4,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
48,"Кировградская, 12 МИНИ ФОРМАТ",10,10,6,0,0,4,3,4,20,5,0,0,0,0,0,0,4,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0
49,"ЖМ Репина, 52 БОЛЬШОЙ ФОРМАТ",13,7,5,0,0,11,0,3,10,6,0,0,0,0,0,0,3,2,1,1,1,0,3,2,0,0,2,0,1,0,0,0,0,0,0
50,Шаумяна 87 2 МИНИ ФОРМАТ,7,7,3,0,0,14,2,3,19,1,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,2,2,0,1,0,5,0,0,0,0
51,ЖМ Родонитовая 3 1 БОЛЬШОЙ ФОРМАТ,12,11,3,0,0,15,1,1,29,6,0,0,0,0,0,0,0,0,0,1,1,0,2,0,3,1,0,0,4,0,0,0,0,0,0
52,ЖМ Шейнкмана 111 БОЛЬШОЙ ФОРМАТ,4,6,2,0,0,9,1,5,0,4,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,5,0,0,0,0,0,0
53,ЖМ Радищева 28 БОЛЬШОЙ ФОРМАТ,8,8,3,0,0,15,3,0,15,4,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,2,1,0,0,0,0,0,0
54,ЖМ Крестинского 57а БОЛЬШОЙ ФОРМАТ,6,6,2,0,0,10,1,2,13,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
